RecordId,MAK,PropertyAddress,Suite,City,State,ZipCode,ZipCodePlus4,Latitude,Longitude,FIPSCode,APN,CensusKey,CensusKeyDecennial,CountyLandUseDescription,TotalAssessedValue,AssessmentYear,LotSizeOrArea,LotSizeAreaUnit,SalesPriceFromAssessment,YearBuilt,TotalNumberOfRooms,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths,NumberOfStories,NumberOfBuildings,NumberOfUnits,GarageTypeParking,GarageParkingNumberOfCars,HasDeck,DeckArea,HasGuestHouse,GuestHouseArea,PoolType,PoolArea,AirConditioning,HasFireplace,FireplaceCount,HasBasement,HasElevator,HasSecurityAlarm,HasSprinklers
196,7780507226,54 San Bonifacio,,Rancho Santa Margarita,CA,92688,2522,33.638928,-117.622843,06059,805-152-30,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",415910,2023,4860.0000000,SF,271000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
197,6510502334,46 San Bonifacio,,Rancho Santa Margarita,CA,92688,2521,33.639524,-117.622730,06059,805-152-34,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",379076,2023,4980.0000000,SF,247000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
198,2763467896,42 San Bonifacio,,Rancho Santa Margarita,CA,92688,2521,33.639788,-117.622532,06059,805-152-36,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",463361,2023,7350.0000000,SF,273000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
199,4555511962,8 San Anselmo,,Rancho Santa Margarita,CA,92688,2504,33.639325,-117.621305,06059,805-161-04,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",945724,2023,4750.0000000,SF,720000,1989,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
200,3790489973,16 San Anselmo,,Rancho Santa Margarita,CA,92688,2504,33.638859,-117.620939,06059,805-161-08,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",1003495,2023,4420.0000000,SF,749000,1989,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
201,9185006464,2 San Mateo,,Rancho Santa Margarita,CA,92688,2500,33.638361,-117.620198,06059,805-161-13,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",382356,2023,5700.0000000,SF,217500,1989,8,4,2.00,1,,0,0,999,2,N,0,N,0,502,0,N,Y,1,,,N,N
202,4020088698,4 San Mateo,,Rancho Santa Margarita,CA,92688,2500,33.638155,-117.620290,06059,805-161-14,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",638854,2023,5700.0000000,SF,420000,1989,0,3,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
203,4475600405,10 San Mateo,,Rancho Santa Margarita,CA,92688,2500,33.638020,-117.620765,06059,805-161-17,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",1028319,2023,4420.0000000,SF,730000,1989,0,3,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
204,2801581009,6 San Tomas,,Rancho Santa Margarita,CA,92688,2502,33.637377,-117.620391,06059,805-161-31,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",517397,2023,5100.0000000,SF,283000,1989,9,3,3.00,0,2,0,0,999,3,N,0,N,0,904,0,,N,0,,,N,N
205,5048931731,8 San Tomas,,Rancho Santa Margarita,CA,92688,2502,33.637253,-117.620464,06059,805-161-32,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",442739,2023,5096.0000000,SF,260500,1989,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
206,9036313401,12 San Tomas,,Rancho Santa Margarita,CA,92688,2502,33.637013,-117.620664,06059,805-161-34,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",806543,2023,4368.0000000,SF,602000,1989,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
207,3010406097,14 San Tomas,,Rancho Santa Margarita,CA,92688,2502,33.636895,-117.620766,06059,805-161-35,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",406193,2023,4524.0000000,SF,239000,1992,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
208,1850577901,20 San Tomas,,Rancho Santa Margarita,CA,92688,2502,33.636589,-117.621116,06059,805-161-38,060590320343001,060590320343001,"SINGLE FAMILY RESIDENTIAL",363719,2023,4648.0000000,SF,214500,1992,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
209,8022992415,22 San Julian,,Rancho Santa Margarita,CA,92688,2528,33.636094,-117.624331,06059,805-171-13,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",587249,2023,7000.0000000,SF,316000,1990,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
210,6000731396,42 San Mateo,,Rancho Santa Margarita,CA,92688,2501,33.635939,-117.622644,06059,805-172-06,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",502573,2023,6300.0000000,SF,274000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
211,8730039144,46 San Mateo,,Rancho Santa Margarita,CA,92688,2501,33.635791,-117.622989,06059,805-172-08,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",444432,2023,4940.0000000,SF,246500,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,904,0,,N,0,,,N,N
212,6750473655,6 San Patricio,,Rancho Santa Margarita,CA,92688,2550,33.637379,-117.625082,06059,805-181-06,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",651741,2023,5985.0000000,SF,459000,1990,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
213,8982592515,16 San Patricio,,Rancho Santa Margarita,CA,92688,2550,33.636593,-117.625119,06059,805-181-11,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",399795,2023,4785.0000000,SF,260500,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
214,8971652105,18 San Patricio,,Rancho Santa Margarita,CA,92688,2550,33.636462,-117.625127,06059,805-181-12,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",352214,2023,4840.0000000,SF,225000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
215,6453000734,20 San Patricio,,Rancho Santa Margarita,CA,92688,2550,33.636309,-117.625113,06059,805-181-13,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",436857,2023,4959.0000000,SF,252000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
216,6748620641,28 San Patricio,,Rancho Santa Margarita,CA,92688,2551,33.635651,-117.625080,06059,805-181-17,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",513125,2023,6600.0000000,SF,278000,1990,0,3,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
217,4288628773,21 San Patricio,,Rancho Santa Margarita,CA,92688,2540,33.636252,-117.625578,06059,805-182-13,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",393550,2023,7475.0000000,SF,221000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
218,5100252127,16 San Ricardo,,Rancho Santa Margarita,CA,92688,2543,33.636709,-117.625996,06059,805-182-17,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",384091,2023,4320.0000000,SF,260000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
219,5288447331,12 San Ricardo,,Rancho Santa Margarita,CA,92688,2543,33.637008,-117.626049,06059,805-182-19,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",421752,2023,4320.0000000,SF,290000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
220,8427586840,6 San Ricardo,,Rancho Santa Margarita,CA,92688,2543,33.637455,-117.626165,06059,805-182-22,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",803333,2023,4264.0000000,SF,735000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
221,7760570138,5 San Ricardo,,Rancho Santa Margarita,CA,92688,2542,33.637361,-117.626705,06059,805-182-27,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",310388,2023,5500.0000000,SF,190000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
222,5634962753,9 San Ricardo,,Rancho Santa Margarita,CA,92688,2542,33.637086,-117.626526,06059,805-182-29,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",818794,2023,5900.0000000,SF,677000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
223,2070442971,11 San Ricardo,,Rancho Santa Margarita,CA,92688,2542,33.636928,-117.626490,06059,805-182-30,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",391666,2023,5270.0000000,SF,226000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
224,4665327194,17 San Ricardo,,Rancho Santa Margarita,CA,92688,2542,33.636614,-117.626446,06059,805-182-32,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",423934,2023,4950.0000000,SF,219000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
225,8436709690,19 San Ricardo,,Rancho Santa Margarita,CA,92688,2542,33.636467,-117.626415,06059,805-182-33,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",317683,2023,5060.0000000,SF,207000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
226,8762001471,21 San Ricardo,,Rancho Santa Margarita,CA,92688,2542,33.636317,-117.626404,06059,805-182-34,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",357893,2023,5035.0000000,SF,206500,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
227,5798687289,6 San Pedro,,Rancho Santa Margarita,CA,92688,2541,33.635806,-117.625980,06059,805-182-40,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",398720,2023,4420.0000000,SF,230000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
228,6432756066,33 San Patricio,,Rancho Santa Margarita,CA,92688,2509,33.635487,-117.625737,06059,805-191-01,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",426776,2023,12000.0000000,SF,215000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
229,3189027416,37 San Patricio,,Rancho Santa Margarita,CA,92688,2509,33.635387,-117.625908,06059,805-191-02,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",355556,2023,9100.0000000,SF,204000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
230,9134965434,4 San Ignacio,,Rancho Santa Margarita,CA,92688,2559,33.633979,-117.625576,06059,805-191-10,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",424724,2023,5229.0000000,SF,245000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
231,8645348063,46 Santa Teresa,,Rancho Santa Margarita,CA,92688,2548,33.632865,-117.625975,06059,805-191-19,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",438363,2023,9100.0000000,SF,256500,1990,0,3,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
232,8514470267,42 Santa Teresa,,Rancho Santa Margarita,CA,92688,2548,33.633045,-117.625593,06059,805-191-21,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",427793,2023,4940.0000000,SF,230000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,904,0,,N,0,,,N,N
233,1559319042,36 Santa Teresa,,Rancho Santa Margarita,CA,92688,2548,33.633332,-117.625119,06059,805-191-24,060590320343000,060590320343000,"SINGLE FAMILY RESIDENTIAL",416580,2023,5100.0000000,SF,240500,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
234,9167193542,24 Santa Cecelia,,Rancho Santa Margarita,CA,92688,2553,33.634655,-117.625344,06059,805-201-01,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",563548,2023,9000.0000000,SF,374000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
235,6546225063,10 Santa Cecelia,,Rancho Santa Margarita,CA,92688,2552,33.635257,-117.624430,06059,805-201-08,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",414373,2023,5500.0000000,SF,270000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
236,1158903602,4 Santa Cecelia,,Rancho Santa Margarita,CA,92688,2552,33.635686,-117.624308,06059,805-201-11,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",351274,2023,4400.0000000,SF,220000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
237,5024639683,2 Santa Cruz,,Rancho Santa Margarita,CA,92688,2544,33.635881,-117.623736,06059,805-201-14,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",425528,2023,8040.0000000,SF,266500,1990,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
238,6469918435,10 Santa Cruz,,Rancho Santa Margarita,CA,92688,2544,33.635291,-117.623732,06059,805-201-18,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",414370,2023,4565.0000000,SF,275000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
239,2577129787,18 Santa Cruz,,Rancho Santa Margarita,CA,92688,2544,33.634772,-117.623962,06059,805-201-22,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",377596,2023,5500.0000000,SF,258000,1990,8,3,3.00,0,,0,0,999,2,N,0,N,0,,0,C,Y,1,,,N,N
240,6505643707,34 San Tomas,,Rancho Santa Margarita,CA,92688,2536,33.635620,-117.622102,06059,805-201-30,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",495882,2023,5320.0000000,SF,277500,1990,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
241,5288158952,36 San Tomas,,Rancho Santa Margarita,CA,92688,2536,33.635514,-117.622235,06059,805-201-31,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",382775,2023,4940.0000000,SF,228000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
242,9971728102,12 Santa Teresa,,Rancho Santa Margarita,CA,92688,2546,33.634585,-117.623396,06059,805-201-40,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",331866,2023,4000.0000000,SF,212000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
243,6963133733,28 Santa Teresa,,Rancho Santa Margarita,CA,92688,2547,33.633824,-117.624351,06059,805-201-48,060590320343004,060590320343004,"SINGLE FAMILY RESIDENTIAL",491931,2023,5500.0000000,SF,333000,1990,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
244,2873721571,30111 Tomas,,Rancho Santa Margarita,CA,92688,2125,33.639083,-117.604626,06059,805-222-03,060590320531000,060590320531000,"INDUSTRIAL",4468497,2023,1.5440000,AC,3043000,,0,0,.00,0,,0,0,,0,N,,N,,,,,N,0,,,N,N
245,7399091069,23331 Antonio Pkwy,,Rancho Santa Margarita,CA,92688,2664,33.623702,-117.609199,06059,805-231-16,060590320531033,060590320531033,"IND, MISC USES",4689263,2023,1.3040000,AC,1750000,,0,0,.00,0,,0,0,,0,N,,N,,,,,N,0,,,N,N
246,2950468047,23251 Antonio Pkwy,,Rancho Santa Margarita,CA,92688,2653,33.625005,-117.608181,06059,805-231-19,060590320531033,060590320531033,"IND, MISC USES",5969625,2023,1.3530000,AC,4525000,,0,0,.00,0,,0,0,,0,N,,N,,,,,N,0,,,N,N
247,1817564624,23286 Arroyo Vis,,Rancho Santa Margarita,CA,92688,2610,33.624538,-117.609365,06059,805-231-26,060590320531033,060590320531033,"IND, MISC USES",1010230,2023,16799.0000000,SF,695000,,0,0,.00,0,,0,0,,0,N,,N,,,,,N,0,,,N,N
248,6197905293,29734 Avenida De Las Bandera,,Rancho Santa Margarita,CA,92688,2615,33.626463,-117.610443,06059,805-233-23,060590320531027,060590320531027,"IND, MISC USES",768189,2023,13916.0000000,SF,520000,,0,0,.00,0,,0,0,,0,N,,N,,,,,N,0,,,N,N
249,5846191637,29710 Avenida De Las Bandera,,Rancho Santa Margarita,CA,92688,2614,33.625203,-117.611005,06059,805-233-24,060590320531037,060590320531037,"INDUSTRIAL",592034,2023,13573.0000000,SF,1268000,,0,0,.00,0,,0,0,,0,N,,N,,,,,N,0,,,N,N
250,1356938966,23151 Camino Altazano,,Rancho Santa Margarita,CA,92688,2619,33.625846,-117.612912,06059,805-241-05,060590320531007,060590320531007,"COMMERCIAL",4013616,2023,2.1059999,AC,786500,,0,0,.00,0,,0,0,,0,N,,N,,,,,N,0,,,N,N
251,3801399443,30 Sendero,,Rancho Santa Margarita,CA,92688,3007,33.612439,-117.617325,06059,805-262-10,060590320533016,060590320533016,"SINGLE FAMILY RESIDENTIAL",455520,2023,4000.0000000,SF,268000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
252,6946006874,16 Sendero,,Rancho Santa Margarita,CA,92688,3006,33.613389,-117.617080,06059,805-262-17,060590320533016,060590320533016,"SINGLE FAMILY RESIDENTIAL",437269,2023,4420.0000000,SF,296000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
253,6341396504,12 Sendero,,Rancho Santa Margarita,CA,92688,3006,33.613606,-117.617008,06059,805-262-18,060590320533016,060590320533016,"SINGLE FAMILY RESIDENTIAL",445525,2023,4368.0000000,SF,257000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
254,3198098852,19 Telura,,Rancho Santa Margarita,CA,92688,3024,33.614492,-117.616770,06059,805-262-24,060590320533016,060590320533016,"SINGLE FAMILY RESIDENTIAL",547010,2023,6650.0000000,SF,282500,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
255,8594799393,5 Telura,,Rancho Santa Margarita,CA,92688,3016,33.614669,-117.617990,06059,805-262-31,060590320533016,060590320533016,"SINGLE FAMILY RESIDENTIAL",113549,2023,4200.0000000,SF,266000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
256,3382295414,11 Ganadero,,Rancho Santa Margarita,CA,92688,3014,33.614027,-117.617509,06059,805-262-42,060590320533016,060590320533016,"SINGLE FAMILY RESIDENTIAL",368330,2023,5880.0000000,SF,240000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
257,2231978392,37 Sendero,,Rancho Santa Margarita,CA,92688,3012,33.611972,-117.617865,06059,805-262-62,060590320533016,060590320533016,"SINGLE FAMILY RESIDENTIAL",674462,2023,4816.0000000,SF,480000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
258,4547503296,20 Via Mirage,,Rancho Santa Margarita,CA,92688,4927,33.614082,-117.621684,06059,805-271-11,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",333367,2023,3400.0000000,SF,200864,1992,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
259,5097656735,4 Via Mirage,,Rancho Santa Margarita,CA,92688,4930,33.614637,-117.621001,06059,805-271-19,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",909309,2023,2975.0000000,SF,715000,1993,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
260,3840879729,12 Via Bonita,,Rancho Santa Margarita,CA,92688,4926,33.614504,-117.621779,06059,805-271-26,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",457921,2023,4000.0000000,SF,322500,1992,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
261,4449006816,38 Reata,,Rancho Santa Margarita,CA,92688,3023,33.611162,-117.619260,06059,805-291-04,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",414611,2023,4200.0000000,SF,235000,1991,0,4,2.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
262,1500451466,30 Reata,,Rancho Santa Margarita,CA,92688,3035,33.611766,-117.619222,06059,805-291-08,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",424893,2023,4428.0000000,SF,250000,1991,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
263,5819212409,10 Reata,,Rancho Santa Margarita,CA,92688,3034,33.613281,-117.619408,06059,805-291-18,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",389598,2023,4620.0000000,SF,244000,1991,8,4,2.00,1,,0,0,999,2,N,0,N,0,,0,N,Y,1,,,N,N
264,1243918573,1 Sillero,,Rancho Santa Margarita,CA,92688,3031,33.613307,-117.620751,06059,805-291-29,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",519607,2023,5280.0000000,SF,277500,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
265,6870306082,23 Sillero,,Rancho Santa Margarita,CA,92688,3028,33.612027,-117.620404,06059,805-291-38,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",864884,2023,4500.0000000,SF,765000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
266,6351390524,29 Sillero,,Rancho Santa Margarita,CA,92688,3029,33.611584,-117.620471,06059,805-291-41,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",429544,2023,4455.0000000,SF,243000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
267,7304807435,23 Reata,,Rancho Santa Margarita,CA,92688,3037,33.612303,-117.619659,06059,805-292-09,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",412633,2023,4250.0000000,SF,212000,1991,0,5,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
268,5374491069,27 Reata,,Rancho Santa Margarita,CA,92688,3037,33.611976,-117.619643,06059,805-292-11,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",874606,2023,4600.0000000,SF,640000,1991,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
269,4945730706,29 Reata,,Rancho Santa Margarita,CA,92688,3037,33.611821,-117.619674,06059,805-292-12,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",375150,2023,4700.0000000,SF,209500,1991,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
270,7871305243,35 Reata,,Rancho Santa Margarita,CA,92688,3037,33.611391,-117.619729,06059,805-292-15,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",363726,2023,4400.0000000,SF,237000,1991,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
271,2684432407,43 Reata,,Rancho Santa Margarita,CA,92688,3037,33.610809,-117.619686,06059,805-292-19,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",378233,2023,5100.0000000,SF,227000,1991,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
272,4868931483,36 Sillero,,Rancho Santa Margarita,CA,92688,3027,33.611145,-117.619998,06059,805-292-22,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",419889,2023,4250.0000000,SF,219000,1990,0,4,3.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
273,7326955100,28 Sillero,,Rancho Santa Margarita,CA,92688,3027,33.611622,-117.620017,06059,805-292-25,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",454121,2023,4250.0000000,SF,247000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
274,5797410961,24 Sillero,,Rancho Santa Margarita,CA,92688,3026,33.611913,-117.619960,06059,805-292-27,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",414493,2023,4250.0000000,SF,239500,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
275,8836843177,20 Sillero,,Rancho Santa Margarita,CA,92688,3026,33.612195,-117.619941,06059,805-292-29,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",542998,2023,4500.0000000,SF,374000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,904,0,,N,0,,,N,N
276,4959613410,16 Sillero,,Rancho Santa Margarita,CA,92688,3026,33.612483,-117.619941,06059,805-292-31,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",360810,2023,4500.0000000,SF,222500,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
277,5827586642,14 Sillero,,Rancho Santa Margarita,CA,92688,3026,33.612623,-117.619964,06059,805-292-32,060590320532006,060590320532006,"SINGLE FAMILY RESIDENTIAL",538149,2023,4500.0000000,SF,379000,1990,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
278,6016155054,45 Sillero,,Rancho Santa Margarita,CA,92688,3044,33.610358,-117.620520,06059,805-301-03,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",428228,2023,4200.0000000,SF,257000,1990,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
279,5260483271,61 Sillero,,Rancho Santa Margarita,CA,92688,3045,33.609714,-117.621416,06059,805-301-10,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",837292,2023,6000.0000000,SF,760000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
280,2818383403,46 Sillero,,Rancho Santa Margarita,CA,92688,3047,33.610118,-117.620163,06059,805-301-19,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",327327,2023,4500.0000000,SF,180000,1990,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
281,3033999891,3 Rodaja,,Rancho Santa Margarita,CA,92688,3030,33.610434,-117.619862,06059,805-301-25,060590320532000,060590320532000,"SINGLE FAMILY RESIDENTIAL",356261,2023,4100.0000000,SF,214000,1991,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
282,1783231579,23 Amantes,,Rancho Santa Margarita,CA,92688,2707,33.621884,-117.619221,06059,805-311-09,060590320531005,060590320531005,"SINGLE FAMILY RESIDENTIAL",421414,2023,5000.0000000,SF,253000,1992,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
283,8912610585,19 Amantes,,Rancho Santa Margarita,CA,92688,2707,33.621810,-117.619588,06059,805-311-11,060590320531005,060590320531005,"SINGLE FAMILY RESIDENTIAL",922298,2023,5000.0000000,SF,675000,1992,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
284,8805470093,24 Amantes,,Rancho Santa Margarita,CA,92688,2705,33.621482,-117.619020,06059,805-312-05,060590320531015,060590320531015,"SINGLE FAMILY RESIDENTIAL",486264,2023,5000.0000000,SF,251000,1992,0,5,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
